fetched_at,id,last_opened_at,updated_at,word_count,reading_progress,cutoff
2025-01-26T10:11:05.765Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T10:11:05.804Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T11:08:17.286Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T11:08:17.327Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T12:18:52.471Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T12:18:52.582Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T13:12:27.536Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T13:12:27.576Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
2025-01-26T14:08:53.096Z,01jfadtvr15x8ndaxv69zq48e8,2025-01-25T19:36:22.110000+00:00,2025-01-25T19:39:43.249127+00:00,79729,0.7580828084220793,500
2025-01-26T14:08:53.140Z,01jfadv2p9jc66xtcwg8ksb89k,2025-01-25T19:43:51.259000+00:00,2025-01-25T19:52:46.476155+00:00,177746,0.015383061835082949,500
